Comment,Designator,Footprint,LCSC Part #,Manufacturer,Manufacturer Part #,Quantity
10kΩ,"R4, R6, R7, R9, R12, R14, R15, R16, R17, R18, R19, R20, R21, R3",R0603,C25804,UNI-ROYAL,0603WAF1002T5E,14
AO3400A,"Q9, Q3, Q4, Q5, Q6, Q7",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C347475,UMW,AO3400A,6
BM20B(0.8)-40DS-0.4V(51),CN1,CONN-SMD_BM20B-0.8-40DS-0.4V-51,C424543,HRS Hirose,BM20B(0.8)-40DS-0.4V(51),1
GT-TC018A-H0375-L1,"SW3, SW4",SW-SMD_L4.7-W3.5-P3.35-EH,C963235,G-Switch,GT-TC018A-H0375-L1,2
GT-USB-7010ASV,U1,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,C2988369,G-Switch,GT-USB-7010ASV,1
12MHz,X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C133334,TAE,TAXM12M4RLBDDT2T,1
W25Q16JVSSIQ,ROM1,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,C82317,WINBOND,W25Q16JVSSIQ,1
RP2040,U2,QFN-56_L7.0-W7.0-P0.90-TL-EP3.2,C2040,Raspberry Pi,SC0914(13),1
VRD1828MTX,U3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C697923,AnaSem,VRD1828MTX,1
S8050,Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C916390,JSMSEMI,S8050,1
100nF,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C13",C0603,C14663,YAGEO,CC0603KRX7R9BB104,10
10uF,"C10, C11, C12, C16, C17",C0603,C19702,SAMSUNG,CL10A106KP8NNNC,5
20pF,"C14, C15",C0603,C105621,YAGEO,CC0603JRNPO9BN200,2
B5819WS,D1,SOD-323_L1.8-W1.3-LS2.5-RD,C64886,MDD,B5819WS,1
ME6211C33M5G-N,LDO1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,C82942,MICRONE,ME6211C33M5G-N,1
AO3401A,Q2,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,C347476,UMW,AO3401A,1
27Ω,"R1, R13",R0603,C25190,UNI-ROYAL,0603WAF270JT5E,2
1kΩ,"R2, R5",R0603,C21190,UNI-ROYAL,0603WAF1001T5E,2
10Ω,R24,R0603,C22859,UNI-ROYAL,0603WAF100JT5E,1
5.1kΩ,"R10, R25",R0603,C23186,UNI-ROYAL,0603WAF5101T5E,2
