Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R4,10kΩ,R0603,7.8842,2.6213,90,Bottom
Q9,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,2.9566,5.9284,0,Bottom
CN1,BM20B(0.8)-40DS-0.4V(51),CONN-SMD_BM20B-0.8-40DS-0.4V-51,2.5310,3.4916,90,Top
SW3,GT-TC018A-H0375-L1,SW-SMD_L4.7-W3.5-P3.35-EH,7.3769,1.5666,0,Bottom
SW4,GT-TC018A-H0375-L1,SW-SMD_L4.7-W3.5-P3.35-EH,2.6770,1.5666,0,Bottom
U1,GT-USB-7010ASV,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,5.0310,1.8816,180,Bottom
X2,12MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL,6.3094,4.8616,0,Bottom
ROM1,W25Q16JVSSIQ,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,6.9342,2.7584,90,Bottom
U2,RP2040,QFN-56_L7.0-W7.0-P0.90-TL-EP3.2,5.8014,3.7643,0,Bottom
U3,VRD1828MTX,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,3.9723,3.3124,270,Bottom
Q1,S8050,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,7.8892,4.1250,180,Bottom
R6,10kΩ,R0603,7.5489,4.1199,270,Bottom
C1,100nF,C0603,5.4000,2.8854,90,Bottom
C2,100nF,C0603,6.6954,3.5001,0,Bottom
C3,100nF,C0603,5.1968,2.8905,90,Bottom
C4,100nF,C0603,6.1316,2.8804,90,Bottom
C5,100nF,C0603,5.2324,4.8616,90,Bottom
C6,100nF,C0603,4.8768,3.9268,180,Bottom
C7,100nF,C0603,6.7005,3.9218,0,Bottom
C8,100nF,C0603,5.4305,4.8666,270,Bottom
C9,100nF,C0603,5.9436,2.8905,90,Bottom
C10,10uF,C0603,4.4193,3.3937,0,Bottom
C11,10uF,C0603,4.4193,3.2007,180,Bottom
C12,10uF,C0603,3.6065,3.3073,90,Bottom
C13,100nF,C0603,4.8768,3.5052,180,Bottom
C14,20pF,C0603,5.9690,4.8565,270,Bottom
C15,20pF,C0603,6.7158,4.8717,90,Bottom
C16,10uF,C0603,4.3739,2.7838,90,Bottom
C17,10uF,C0603,3.6068,2.8042,90,Bottom
D1,B5819WS,SOD-323_L1.8-W1.3-LS2.5-RD,3.9675,2.4384,180,Bottom
LDO1,ME6211C33M5G-N,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,3.9687,2.8042,90,Bottom
Q2,AO3401A,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,7.8892,3.5001,180,Bottom
R1,27Ω,R0603,5.5778,2.8854,270,Bottom
R2,1kΩ,R0603,5.7455,4.8514,270,Bottom
R5,1kΩ,R0603,7.6454,2.6314,90,Bottom
R7,10kΩ,R0603,7.5489,3.5052,90,Bottom
R13,27Ω,R0603,5.7658,2.8854,270,Bottom
R24,10Ω,R0603,3.2918,5.9334,90,Bottom
Q3,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,4.1260,5.9653,0,Bottom
Q4,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,2.9613,4.6343,0,Bottom
Q5,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,4.1300,5.2984,0,Bottom
Q6,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,4.1453,4.6227,0,Bottom
Q7,AO3400A,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,2.9566,5.2934,0,Bottom
R9,10kΩ,R0603,3.8049,5.9588,90,Bottom
R12,10kΩ,R0603,3.2969,4.6330,90,Bottom
R14,10kΩ,R0603,2.6264,4.6330,90,Bottom
R15,10kΩ,R0603,4.4755,5.2883,90,Bottom
R16,10kΩ,R0603,3.8100,5.3086,90,Bottom
R17,10kΩ,R0603,4.4755,4.6126,90,Bottom
R18,10kΩ,R0603,3.8151,4.6279,90,Bottom
R19,10kΩ,R0603,3.2969,5.2832,90,Bottom
R20,10kΩ,R0603,2.6264,5.2883,90,Bottom
R21,10kΩ,R0603,4.4755,5.9385,90,Bottom
R10,5.1kΩ,R0603,3.6017,1.7983,180,Bottom
R25,5.1kΩ,R0603,3.6017,1.9914,180,Bottom
R3,10kΩ,R0603,2.6264,5.9334,90,Bottom
